year,region,country,permanent,temporary,irregular ,total,new_hires_2003,new_hires_2012
2004,Americas or Trust Territories,Costa Rica,31,154,10,195,-,-
2004,Americas or Trust Territories,Cuba,200,260,100,560,-,-
2004,Americas or Trust Territories,Curacao,0,25,0,25,-,-
2004,Americas or Trust Territories,Diego Garcia,0,3607,300,3907,-,-
2004,Americas or Trust Territories,Dominica,0,6,0,6,-,-
2004,Americas or Trust Territories,Dominican Republic,0,93,5,98,-,-
2004,Americas or Trust Territories,Ecuador,20,55,25,100,-,-
2004,Americas or Trust Territories,El Salvador,10,25,5,40,-,-
2004,Americas or Trust Territories,Fiji,0,125,0,125,-,-
2004,Americas or Trust Territories,French Polynesia,0,1000,0,1000,-,-
2004,Americas or Trust Territories,Grenada,0,13,0,13,-,-
2004,Americas or Trust Territories,Guam,45968,1800,500,48268,-,-
2004,Americas or Trust Territories,Guatemala,74,143,20,237,-,-
2004,Americas or Trust Territories,Guyana,5,62,5,72,-,-
2004,Americas or Trust Territories,Haiti,251,8,50,309,-,-
2004,Americas or Trust Territories,Honduras,57,213,20,290,-,-
2004,Americas or Trust Territories,Jamaica,26,195,40,261,-,-
2004,Americas or Trust Territories,Marshall Islands (Majuro),0,600,50,650,-,-
2004,Americas or Trust Territories,Mexico,21,196,100,317,-,-
2004,Americas or Trust Territories,Federated States of Micronesia,0,1426,200,1626,-,-
2004,Americas or Trust Territories,Netherlands Antilles,0,25,5,30,-,-
2004,Americas or Trust Territories,Nicaragua,14,31,5,50,-,-
2004,Americas or Trust Territories,Palau,21,3000,1000,4021,-,-
2004,Americas or Trust Territories,Panama,19,76,10,105,-,-
2004,Americas or Trust Territories,Paraguay,15,50,5,70,-,-
2004,Americas or Trust Territories,Peru,46,94,10,150,-,-
2004,Americas or Trust Territories,Puerto Rico,10,300,20,330,-,-
2004,Americas or Trust Territories,Solomon,33,400,130,563,-,-
2004,Americas or Trust Territories,Saint Kitts and Nevis,0,3,0,3,-,-
2004,Americas or Trust Territories,Saint Lucia,0,0,0,0,-,-
2004,Americas or Trust Territories,Saint Vincent and The Grenadines,0,16,5,21,-,-
2004,Americas or Trust Territories,Suriname,63,196,50,309,-,-
2004,Americas or Trust Territories,Trinidad and Tobago,21,115,50,186,-,-
2004,Americas or Trust Territories,Turks and Caicos Island (West Indies),0,400,0,400,-,-
2004,Americas or Trust Territories,United States ,2271933,101249,350000,2723182,-,-
2004,Americas or Trust Territories,Uruguay,0,10,10,20,-,-
2004,Americas or Trust Territories,Vanuatu,0,120,0,120,-,-
2004,Americas or Trust Territories,Venezuela,95,116,20,231,-,-
2004,Americas or Trust Territories,US Virgin Islands,0,1486,200,1686,-,-
2004,Americas or Trust Territories,West Indies,0,252,5,257,-,-
2004,Oceania,Oceania Total,228984,12603,10850,252437,-,-
